Priimek,Števec
prikl,0
tomić,0
trček,3
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,1
šergan,0
zorčič,0
dekleva,0
brglez,0
košnik,0
horvat,1
koleša,0
kramar,0
matić,0
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,1
škopac,0
zajc,0
zorman,1
gantar,0
hainz,0
hršak,0
kotnik,0
levičar,0
battelli,1
breznik,0
brinovšek,0
grims,1
irgl,0
lep,46
logar,0
mahnič,0
podkrajšek,0
pojbič,0
šircelj,2
muršič,0
nemec,0
horvat,1
vrtovec,0
kovačič,0
hanžek,0
kordiš,0
škoberne,0
vilfan,0
veber,2
krajnc,0
janša,1
göncz,0
tanko,2
novak,0
han,1
sluga,1
tonin,0
jurša,2
gorenak,3
vervega,0
potočnik,0
kopmajer,0
žibert,0
godec,0
krivec,1
lisec,0
pogačnik,0
žnidar,1
dimic,0
tašner,0
bizjak,0
lipicer,2
möderndorfer,0
verbič,1
mesec,67
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,2
lah,1
dobovšek,2
bačič,0
klanjšček,0
radič,0
tabaković,0
